업체(시설)명,지도점검일자,점검사항,지도점검구분,소재지주소
월드염색,20160713,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 239-29번지 
정원염색,20160713,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 32-5번지 1층 
(주)두양,20160713,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 240-3번지 
제일염색,20160707,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 225-25번지 1층 
종암염색,20160707,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 471번지 
신아염색,20160706,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 34번지 
세종종합상사,20160706,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 돈의동 154번지 
매일기획,20160706,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 와룡동 172-2번지 4층 
중앙염색,20160706,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 447번지 
인디안염색사,20160630,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 446번지 
비젼애드커뮤니케이션,20160630,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 창신동 330-30번지 1층 
원일문화사,20160630,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 창신동 329-8번지 
백양염색,20160630,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 창신동 421-1번지 
보람,20160629,발생폐수 적정보관 및 위탁여부,수시,서울특별시 종로구 묘동 78번지 
원도금,20160629,발생폐수 적정보관 및 위탁여부,수시,서울특별시 종로구 연지동 59번지 3층 
태성도금,20160629,발생폐수 적정보관 및 위탁여부,수시,서울특별시 종로구 권농동 188-2번지 
협동염색,20160623,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 473번지 
진흥염색,20160623,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 465번지 
유진염색,20160615,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 248-2번지 
진영염색,20160615,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 33-9번지 
서울대학교병원첨단치료개발센터,20160615,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 연건동 28번지 
서울대학교 암연구소,20160615,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 연건동 28번지 
진흥염색,20160615,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 465번지 
인디안염색사,20160615,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 446번지 
